patch_id,filename,cx,cy,label,type
0,5032-6-6.png,74,30,1,positive
1,5032-6-6.png,123,20,1,positive
2,5032-6-6.png,157,17,1,positive
3,5032-6-6.png,186,12,1,positive
4,5032-6-6.png,188,36,1,positive
5,5032-6-6.png,206,11,1,positive
6,5032-6-6.png,230,39,1,positive
7,5032-6-6.png,237,11,1,positive
8,5032-6-6.png,257,27,1,positive
9,5032-6-6.png,278,14,1,positive
10,5032-6-6.png,256,57,1,positive
11,5032-6-6.png,297,33,1,positive
12,5032-6-6.png,327,13,1,positive
13,5032-6-6.png,304,10,1,positive
14,5032-6-6.png,331,43,1,positive
15,5032-6-6.png,365,19,1,positive
16,5032-6-6.png,395,14,1,positive
17,5032-6-6.png,426,11,1,positive
18,5032-6-6.png,147,61,1,positive
19,5032-6-6.png,51,59,1,positive
20,5032-6-6.png,52,90,1,positive
21,5032-6-6.png,166,115,1,positive
22,5032-6-6.png,188,62,1,positive
23,5032-6-6.png,304,53,1,positive
24,5032-6-6.png,376,46,1,positive
25,5032-6-6.png,405,36,1,positive
26,5032-6-6.png,433,27,1,positive
27,5032-6-6.png,173,169,1,positive
28,5032-6-6.png,206,151,1,positive
29,5032-6-6.png,231,157,1,positive
30,5032-6-6.png,199,171,1,positive
31,5032-6-6.png,475,11,1,positive
32,5032-6-6.png,489,28,1,positive
33,5032-6-6.png,590,14,1,positive
34,5032-6-6.png,629,79,1,positive
35,5032-6-6.png,643,68,1,positive
36,5032-6-6.png,679,66,1,positive
37,5032-6-6.png,659,70,1,positive
38,5032-6-6.png,682,85,1,positive
39,5032-6-6.png,585,56,1,positive
40,5032-6-6.png,559,119,1,positive
41,5032-6-6.png,555,55,1,positive
42,5032-6-6.png,551,77,1,positive
43,5032-6-6.png,494,98,1,positive
44,5032-6-6.png,428,225,1,positive
45,5032-6-6.png,510,159,1,positive
46,5032-6-6.png,483,140,1,positive
47,5032-6-6.png,571,158,1,positive
48,5032-6-6.png,640,195,1,positive
49,5032-6-6.png,454,41,1,positive
50,5032-6-6.png,490,51,1,positive
51,5032-6-6.png,428,55,1,positive
52,5032-6-6.png,440,77,1,positive
53,5032-6-6.png,399,70,1,positive
54,5032-6-6.png,360,72,1,positive
55,5032-6-6.png,590,248,1,positive
56,5032-6-6.png,642,231,1,positive
57,5032-6-6.png,698,135,1,positive
58,5032-6-6.png,702,88,1,positive
59,5032-6-6.png,696,110,1,positive
60,5032-6-6.png,720,113,1,positive
61,5032-6-6.png,743,84,1,positive
62,5032-6-6.png,746,70,1,positive
63,5032-6-6.png,534,24,1,positive
64,5032-6-6.png,584,30,1,positive
65,5032-6-6.png,622,30,1,positive
66,5032-6-6.png,696,53,1,positive
67,5032-6-6.png,662,43,1,positive
68,5032-6-6.png,677,15,1,positive
69,5032-6-6.png,665,7,1,positive
70,5032-6-6.png,662,20,1,positive
71,5032-6-6.png,699,34,1,positive
72,5032-6-6.png,708,18,1,positive
73,5032-6-6.png,723,37,1,positive
74,5032-6-6.png,615,107,1,positive
75,5032-6-6.png,677,114,1,positive
76,5032-6-6.png,656,89,1,positive
77,5032-6-6.png,647,115,1,positive
78,5032-6-6.png,630,161,1,positive
79,5032-6-6.png,591,89,1,positive
80,5032-6-6.png,745,29,1,positive
81,5032-6-6.png,772,29,1,positive
82,5032-6-6.png,797,32,1,positive
83,5032-6-6.png,786,53,1,positive
84,5032-6-6.png,817,63,1,positive
85,5032-6-6.png,761,68,1,positive
86,5032-6-6.png,762,85,1,positive
87,5032-6-6.png,775,79,1,positive
88,5032-6-6.png,795,81,1,positive
89,5032-6-6.png,774,91,1,positive
90,5032-6-6.png,917,104,1,positive
91,5032-6-6.png,888,89,1,positive
92,5032-6-6.png,953,51,1,positive
93,5032-6-6.png,814,152,1,positive
94,5032-6-6.png,824,169,1,positive
95,5032-6-6.png,798,2,1,positive
96,5032-6-6.png,830,5,1,positive
97,5032-6-6.png,857,10,1,positive
98,5032-6-6.png,928,13,1,positive
99,5032-6-6.png,950,23,1,positive
100,5032-6-6.png,969,22,1,positive
101,5032-6-6.png,957,37,1,positive
102,5032-6-6.png,954,100,1,positive
103,5032-6-6.png,999,45,1,positive
104,5032-6-6.png,974,48,1,positive
105,5032-6-6.png,984,26,1,positive
106,5032-6-6.png,1004,20,1,positive
107,5032-6-6.png,865,132,1,positive
108,5032-6-6.png,760,149,1,positive
109,5032-6-6.png,749,180,1,positive
110,5032-6-6.png,896,330,1,positive
111,5032-6-6.png,950,349,1,positive
112,5032-6-6.png,985,342,1,positive
113,5032-6-6.png,924,364,1,positive
114,5032-6-6.png,876,370,1,positive
115,5032-6-6.png,898,384,1,positive
116,5032-6-6.png,957,370,1,positive
117,5032-6-6.png,987,370,1,positive
118,5032-6-6.png,1013,371,1,positive
119,5032-6-6.png,990,321,1,positive
120,5032-6-6.png,1014,314,1,positive
121,5032-6-6.png,1013,329,1,positive
122,5032-6-6.png,965,311,1,positive
123,5032-6-6.png,945,315,1,positive
124,5032-6-6.png,949,330,1,positive
125,5032-6-6.png,897,224,1,positive
126,5032-6-6.png,894,250,1,positive
127,5032-6-6.png,923,251,1,positive
128,5032-6-6.png,920,270,1,positive
129,5032-6-6.png,917,290,1,positive
130,5032-6-6.png,924,308,1,positive
131,5032-6-6.png,896,283,1,positive
132,5032-6-6.png,873,270,1,positive
133,5032-6-6.png,846,260,1,positive
134,5032-6-6.png,826,231,1,positive
135,5032-6-6.png,847,89,1,positive
136,5032-6-6.png,832,36,1,positive
137,5032-6-6.png,822,21,1,positive
138,5032-6-6.png,845,27,1,positive
139,5032-6-6.png,860,39,1,positive
140,5032-6-6.png,872,28,1,positive
141,5032-6-6.png,899,35,1,positive
142,5032-6-6.png,907,64,1,positive
143,5032-6-6.png,873,67,1,positive
144,5032-6-6.png,950,73,1,positive
145,5032-6-6.png,963,84,1,positive
