filename,xmin,ymin,xmax,ymax,geometry,label,source,Unnamed: 0,existing_split,individual,classifica,user_name,created_at,subject_id,image_name,siteID,plotID,year,image_utm_,image_ut_1,image_ut_2,image_ut_3,resolution,crs,Dead,box_utm_le,box_utm_bo,box_utm_ri,box_utm_to,dummy,crown_id,id,width,height,confidence_mean,confidence_std,tile_name,metadata,treeID,Z,complete,basename,remove,image_path,annotator,split
5030-10-4.png,0.0,354.0,21.0,400.0,"POLYGON ((21 354, 21 400, 0 400, 0 354, 21 354))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
5030-10-4.png,0.0,401.0,50.0,444.0,"POLYGON ((50 401, 50 444, 0 444, 0 401, 50 401))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
5030-10-4.png,16.0,492.0,59.0,536.0,"POLYGON ((59 492, 59 536, 16 536, 16 492, 59 492))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
5030-10-4.png,167.0,657.0,194.0,684.0,"POLYGON ((194 657, 194 684, 167 684, 167 657, 194 657))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
5030-10-4.png,200.0,662.0,242.0,705.0,"POLYGON ((242 662, 242 705, 200 705, 200 662, 242 662))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
5030-10-4.png,56.0,613.0,144.0,685.0,"POLYGON ((144 613, 144 685, 56 685, 56 613, 144 613))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
5030-10-4.png,111.0,664.0,182.0,726.0,"POLYGON ((182 664, 182 726, 111 726, 111 664, 182 664))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
5030-10-4.png,142.0,623.0,185.0,660.0,"POLYGON ((185 623, 185 660, 142 660, 142 623, 185 623))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
5030-10-4.png,169.0,685.0,242.0,734.0,"POLYGON ((242 685, 242 734, 169 734, 169 685, 242 685))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
5030-10-4.png,207.0,716.0,265.0,757.0,"POLYGON ((265 716, 265 757, 207 757, 207 716, 265 716))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
5030-10-4.png,170.0,727.0,216.0,764.0,"POLYGON ((216 727, 216 764, 170 764, 170 727, 216 727))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
5030-10-4.png,99.0,715.0,138.0,745.0,"POLYGON ((138 715, 138 745, 99 745, 99 715, 138 715))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
5030-10-4.png,139.0,718.0,166.0,746.0,"POLYGON ((166 718, 166 746, 139 746, 139 718, 166 718))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
5030-10-4.png,98.0,739.0,149.0,764.0,"POLYGON ((149 739, 149 764, 98 764, 98 739, 149 739))",Tree,Sun et al. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5030-10-4.png,,,,train
