patch_id,filename,cx,cy,label,type
0,5030-10-4.png,10,377,1,positive
1,5030-10-4.png,25,422,1,positive
2,5030-10-4.png,37,514,1,positive
3,5030-10-4.png,180,670,1,positive
4,5030-10-4.png,221,683,1,positive
5,5030-10-4.png,100,649,1,positive
6,5030-10-4.png,146,695,1,positive
7,5030-10-4.png,163,641,1,positive
8,5030-10-4.png,205,709,1,positive
9,5030-10-4.png,236,736,1,positive
10,5030-10-4.png,193,745,1,positive
11,5030-10-4.png,118,730,1,positive
12,5030-10-4.png,152,732,1,positive
13,5030-10-4.png,123,751,1,positive
14,5030-10-4.png,148,758,1,positive
15,5030-10-4.png,176,764,1,positive
16,5030-10-4.png,232,760,1,positive
17,5030-10-4.png,123,774,1,positive
18,5030-10-4.png,118,796,1,positive
19,5030-10-4.png,164,778,1,positive
20,5030-10-4.png,208,771,1,positive
21,5030-10-4.png,238,775,1,positive
22,5030-10-4.png,217,789,1,positive
23,5030-10-4.png,158,795,1,positive
24,5030-10-4.png,182,798,1,positive
25,5030-10-4.png,198,802,1,positive
26,5030-10-4.png,98,896,1,positive
27,5030-10-4.png,117,806,1,positive
28,5030-10-4.png,146,806,1,positive
29,5030-10-4.png,160,810,1,positive
30,5030-10-4.png,187,814,1,positive
31,5030-10-4.png,223,815,1,positive
32,5030-10-4.png,237,829,1,positive
33,5030-10-4.png,231,839,1,positive
34,5030-10-4.png,196,832,1,positive
35,5030-10-4.png,155,967,1,positive
36,5030-10-4.png,128,952,1,positive
37,5030-10-4.png,131,990,1,positive
38,5030-10-4.png,197,1012,1,positive
39,5030-10-4.png,190,990,1,positive
40,5030-10-4.png,211,983,1,positive
41,5030-10-4.png,231,1002,1,positive
42,5030-10-4.png,261,898,1,positive
43,5030-10-4.png,254,918,1,positive
44,5030-10-4.png,251,950,1,positive
45,5030-10-4.png,241,979,1,positive
46,5030-10-4.png,54,51,1,positive
47,5030-10-4.png,77,59,1,positive
48,5030-10-4.png,97,66,1,positive
49,5030-10-4.png,113,76,1,positive
50,5030-10-4.png,128,86,1,positive
51,5030-10-4.png,145,68,1,positive
52,5030-10-4.png,162,76,1,positive
53,5030-10-4.png,184,77,1,positive
54,5030-10-4.png,44,70,1,positive
55,5030-10-4.png,67,79,1,positive
56,5030-10-4.png,49,92,1,positive
57,5030-10-4.png,33,99,1,positive
58,5030-10-4.png,25,115,1,positive
59,5030-10-4.png,56,116,1,positive
60,5030-10-4.png,75,98,1,positive
61,5030-10-4.png,91,90,1,positive
62,5030-10-4.png,94,109,1,positive
63,5030-10-4.png,73,121,1,positive
64,5030-10-4.png,94,130,1,positive
65,5030-10-4.png,115,125,1,positive
66,5030-10-4.png,128,105,1,positive
67,5030-10-4.png,114,101,1,positive
68,5030-10-4.png,146,110,1,positive
69,5030-10-4.png,163,123,1,positive
70,5030-10-4.png,173,100,1,positive
71,5030-10-4.png,137,132,1,positive
72,5030-10-4.png,154,146,1,positive
73,5030-10-4.png,128,154,1,positive
74,5030-10-4.png,144,169,1,positive
75,5030-10-4.png,126,181,1,positive
76,5030-10-4.png,112,167,1,positive
77,5030-10-4.png,94,172,1,positive
78,5030-10-4.png,105,146,1,positive
79,5030-10-4.png,86,153,1,positive
80,5030-10-4.png,70,142,1,positive
81,5030-10-4.png,41,131,1,positive
82,5030-10-4.png,16,138,1,positive
83,5030-10-4.png,46,148,1,positive
84,5030-10-4.png,11,156,1,positive
85,5030-10-4.png,43,169,1,positive
86,5030-10-4.png,67,161,1,positive
87,5030-10-4.png,70,181,1,positive
88,5030-10-4.png,87,203,1,positive
89,5030-10-4.png,104,202,1,positive
90,5030-10-4.png,124,223,1,positive
91,5030-10-4.png,131,200,1,positive
92,5030-10-4.png,102,239,1,positive
93,5030-10-4.png,108,258,1,positive
94,5030-10-4.png,90,265,1,positive
95,5030-10-4.png,99,284,1,positive
96,5030-10-4.png,93,304,1,positive
97,5030-10-4.png,79,319,1,positive
98,5030-10-4.png,71,300,1,positive
99,5030-10-4.png,64,324,1,positive
100,5030-10-4.png,71,273,1,positive
101,5030-10-4.png,24,176,1,positive
102,5030-10-4.png,6,186,1,positive
103,5030-10-4.png,18,201,1,positive
104,5030-10-4.png,36,192,1,positive
105,5030-10-4.png,61,200,1,positive
106,5030-10-4.png,50,212,1,positive
107,5030-10-4.png,33,212,1,positive
108,5030-10-4.png,10,216,1,positive
109,5030-10-4.png,4,237,1,positive
110,5030-10-4.png,16,235,1,positive
111,5030-10-4.png,31,237,1,positive
112,5030-10-4.png,52,230,1,positive
113,5030-10-4.png,77,223,1,positive
